[2026-08-14T06:20:53.612Z] GET http://localhost:3000/ → 200 (53ms, 20530B)
[2026-08-14T06:20:53.668Z] GET http://localhost:3000/_next/static/media/fraunces_latin_wght_italic-s.p.0by3gh2t3oa9b.woff2 → 200 (13ms, 45656B)
[2026-08-14T06:20:53.668Z] GET http://localhost:3000/_next/static/media/fraunces_latin_wght_normal-s.p.1v4l5w6-86t-v.woff2 → 200 (12ms, 36620B)
[2026-08-14T06:20:53.668Z] GET http://localhost:3000/_next/static/media/inter_latin_wght_normal-s.p.0gsaq8ukbf34m.woff2 → 200 (14ms, 48256B)
[2026-08-14T06:20:53.668Z] GET http://localhost:3000/brand/rbw-mark.jpg → 200 (14ms, 103461B)
[2026-08-14T06:20:53.669Z] GET http://localhost:3000/_next/static/chunks/src_app_16g7nni._.css → 200 (13ms, 13203B)
[2026-08-14T06:20:53.669Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xx01vv._.js → 200 (14ms, 675B)
[2026-08-14T06:20:53.670Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (52ms, 218059B)
[2026-08-14T06:20:53.670Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (59ms, 183891B)
[2026-08-14T06:20:53.670Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (36ms, 31819B)
[2026-08-14T06:20:53.670Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (37ms, 28374B)
[2026-08-14T06:20:53.670Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 200 (54ms, 152472B)
[2026-08-14T06:20:53.670Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js → 200 (38ms, 46169B)
[2026-08-14T06:20:53.670Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (37ms, 757B)
[2026-08-14T06:20:53.670Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (38ms, 756B)
[2026-08-14T06:20:53.670Z] GET http://localhost:3000/_next/static/chunks/turbopack-_01_ro95._.js → 200 (40ms, 22430B)
[2026-08-14T06:20:53.670Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e9_p6y._.js → 200 (46ms, 36698B)
[2026-08-14T06:20:53.670Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_007e4b2._.js → 200 (45ms, 301B)
[2026-08-14T06:20:53.670Z] GET http://localhost:3000/_next/static/chunks/src_0f28kzj._.js → 200 (47ms, 15233B)
[2026-08-14T06:20:53.672Z] GET http://localhost:3000/_next/static/chunks/node_modules_1xb-__p._.js → 200 (57ms, 60864B)
[2026-08-14T06:20:53.672Z] GET http://localhost:3000/_next/static/chunks/src_app_page_tsx_097lp6p._.js → 200 (53ms, 286B)
